Content Image,Style Image,Steps,Content Weight (alpha),Style Weight (beta),Stylized Image,timestamp
.gradio\flagged\Content Image\0f82c71212511493114c\WhatsApp Image 2026-02-15 at 11.26.53 PM 1.jpeg,.gradio\flagged\Style Image\8012d4f7320f7846bb7e\WhatsApp Image 2026-02-15 at 11.26.53 PM.jpeg,200,1,1000000,,2026-02-15 23:28:00.690976
.gradio\flagged\Content Image\3ca561f2d237936f3c17\WhatsApp Image 2026-02-15 at 11.26.53 PM 1.jpeg,.gradio\flagged\Style Image\31aff76d555e7bbf1180\WhatsApp Image 2026-02-15 at 11.26.53 PM.jpeg,200,1,1000000,,2026-02-15 23:28:03.518398
